num,Date,estimate
332,2019/11/25,220.0448783
333,2019/11/26,219.8438139
334,2019/11/27,219.5098538
335,2019/11/28,219.0147436
336,2019/11/29,218.487992
338,2019/12/1,218.0129701
339,2019/12/2,218.1340328
340,2019/12/3,218.3309897
341,2019/12/4,218.4389597
342,2019/12/5,218.3563245
343,2019/12/6,218.0698022
345,2019/12/8,217.1952086
346,2019/12/9,216.8725225
347,2019/12/10,216.7899742
348,2019/12/11,216.9561505
349,2019/12/12,217.2317745
350,2019/12/13,217.3823181
352,2019/12/15,216.7536692
353,2019/12/16,216.2026042
354,2019/12/17,215.8756129
355,2019/12/18,215.9561692
356,2019/12/19,216.3762059
357,2019/12/20,216.8717805
359,2019/12/22,217.2264709
360,2019/12/23,217.1478257
361,2019/12/24,217.1595281
362,2019/12/25,217.3704338
363,2019/12/26,217.7086586
364,2019/12/27,218.0061001
